,genre,count
0,grunge,121
1,country,111
2,disco,105
3,hard-rock,97
4,dance,92
5,blues,73
6,british,71
7,synth-pop,65
8,alt-rock,62
9,rock-n-roll,49
10,pop,46
11,rock,44
12,piano,43
13,club,41
14,psych-rock,41
15,emo,38
16,power-pop,35
17,rockabilly,34
18,folk,31
19,soul,28
20,metal,25
21,electro,25
22,alternative,25
23,hip-hop,23
24,hardcore,23
25,k-pop,20
26,acoustic,20
27,singer-songwriter,19
28,punk-rock,18
29,funk,18
30,swedish,18
31,r-n-b,15
32,indie-pop,13
33,honky-tonk,13
34,latin,12
35,punk,10
36,edm,10
37,jazz,10
38,j-dance,9
39,german,9
40,garage,8
41,reggae,8
42,latino,6
43,industrial,6
44,dancehall,5
45,techno,5
46,j-pop,4
47,new-age,4
48,afrobeat,4
49,house,4
50,breakbeat,3
51,j-rock,3
52,show-tunes,3
53,electronic,3
54,comedy,2
55,french,2
56,trip-hop,2
57,disney,2
58,salsa,2
59,ska,2
60,trance,2
61,kids,2
62,metalcore,1
63,children,1
64,chill,1
65,indie,1
66,drum-and-bass,1
67,dub,1
68,groove,1
69,opera,1
70,detroit-techno,1
71,world-music,1
72,chicago-house,1
73,guitar,1
